1970,100
1971,95.46
1972,94.68
1973,99.18
1974,99.38
1975,96.62
1976,92.43
1977,87.27
1978,80.73
1979,76.93
1980,76.91
1981,79.58
1982,76.41
1983,73.15
1984,68.48
1985,63.74
1986,59.79
1987,57.3
1988,56.04
1989,55.16
1990,53.53
1991,52.5
1992,52.55
1993,52.88
1994,53.8
1995,53.21
1996,53.31
1997,52.36
1998,51.48
1999,50.74
2000,49.85
2001,47.8
2002,45.42
2003,43.47
2004,43.08
2005,42.35
2006,41.76
2007,41.76
2008,42.11
2009,42.21
2010,41.11
2011,39.33
2012,36.96
2013,34.51
2014,32.49
2015,31.29
2016,32.05
2017,34.45
1970,100
1971,103.71
1972,104.84
1973,104.11
1974,104.98
1975,105.98
1976,106.02
1977,104.16
1978,102.56
1979,101.45
1980,100.67
1981,99.03
1982,96.72
1983,93.71
1984,92.25
1985,92.46
1986,94.25
1987,94.76
1988,94.4
1989,93.06
1990,90.09
1991,86.53
1992,82.86
1993,78.79
1994,75.64
1995,72.34
1996,70.81
1997,68.93
1998,66.69
1999,64.5
2000,62.27
2001,61.27
2002,61.51
2003,62.2
2004,63.06
2005,62.88
2006,62.68
2007,59.98
2008,55.85
2009,50.05
2010,46.8
2011,44.42
2012,44
2013,44.65
2014,45.92
2015,46.88
2016,44.76
2017,44.34
1970,100
1971,101.27
1972,103.29
1973,105.63
1974,107.58
1975,108.69
1976,109.45
1977,110.94
1978,112.81
1979,113.88
1980,113.82
1981,113.1
1982,113.45
1983,112
1984,112.05
1985,111.94
1986,113.95
1987,116.77
1988,121.41
1989,126.96
1990,130.54
1991,130.74
1992,128.75
1993,125.25
1994,121.71
1995,118.52
1996,114.82
1997,111.92
1998,109.08
1999,107.35
2000,106.46
2001,105.06
2002,104.75
2003,104.16
2004,104.88
2005,105.45
2006,105.83
2007,105.58
2008,104.43
2009,104.43
2010,105.54
2011,103.02
2012,98.61
2013,92.28
2014,90.6
2015,88.43
2016,86.11
2017,83.49
1970,100
1971,98.29
1972,97.19
1973,96.97
1974,94.2
1975,90.12
1976,85.92
1977,82.21
1978,78.76
1979,76.22
1980,74.39
1981,73.11
1982,69.97
1983,66.3
1984,62.96
1985,60.48
1986,58.41
1987,55.71
1988,52.63
1989,51.08
1990,49.28
1991,47.66
1992,45.54
1993,43.45
1994,41.45
1995,38.74
1996,37.22
1997,34.96
1998,33.02
1999,30.74
2000,29.13
2001,27.34
2002,25.8
2003,24.82
2004,24.35
2005,24.3
2006,23.92
2007,23.46
2008,22.63
2009,21.62
2010,20.67
2011,19.2
2012,18.02
2013,17.32
2014,17.43
2015,17.59
2016,17.4
2017,17.21
1970,100
1971,101.01
1972,99.52
1973,95.21
1974,89.56
1975,83.4
1976,78.07
1977,73.04
1978,69.56
1979,67.47
1980,65.05
1981,62.51
1982,58.29
1983,53.37
1984,49.7
1985,46.94
1986,44.32
1987,40.65
1988,37.77
1989,36
1990,35
1991,33.75
1992,32.37
1993,30.58
1994,28.68
1995,26.68
1996,25.41
1997,24.05
1998,22.59
1999,20.83
2000,19.76
2001,18.56
2002,17.43
2003,16.21
2004,15.5
2005,15.31
2006,15.01
2007,14.55
2008,13.59
2009,11.95
2010,10.38
2011,8.81
2012,8.11
2013,7.75
2014,7.78
2015,7.85
2016,7.41
2017,6.86
1970,100
1971,99.7
1972,98.18
1973,96.02
1974,92.08
1975,89.99
1976,89.23
1977,89.83
1978,90.76
1979,91.13
1980,90.87
1981,90.09
1982,89.64
1983,89.53
1984,88.89
1985,88.77
1986,88.25
1987,87.49
1988,86.58
1989,85.27
1990,85.23
1991,84.33
1992,84.55
1993,84.6
1994,85.15
1995,82.98
1996,80.45
1997,77.98
1998,76
1999,74.03
2000,72.16
2001,70.79
2002,71.13
2003,71.89
2004,73.65
2005,73.69
2006,73.62
2007,73.57
2008,73.56
2009,73.34
2010,72.69
2011,72.32
2012,70.99
2013,70.26
2014,70.78
2015,72.96
2016,75.43
2017,77.5
1970,100
1971,99.1
1972,97.93
1973,96.78
1974,95.35
1975,93.56
1976,91.49
1977,88.54
1978,85.68
1979,83.35
1980,81.51
1981,79.84
1982,77.28
1983,74.52
1984,71.83
1985,69.75
1986,68.13
1987,66.32
1988,64.55
1989,63.57
1990,62.68
1991,61.61
1992,60.12
1993,58.11
1994,56.2
1995,54.04
1996,53.04
1997,51.75
1998,50.47
1999,48.66
2000,47.22
2001,45.67
2002,44.5
2003,43.52
2004,42.93
2005,42.2
2006,41.3
2007,40.14
2008,38.72
2009,36.88
2010,35.15
2011,33.44
2012,32.37
2013,31.74
2014,31.67
2015,31.63
2016,31.15
2017,30.89
