      Decimal Date,      13C filled per-mil, seasonally adjusted filled per-mil
1978.0411,-7.68,-7.56
1978.126,-7.71,-7.57
1978.2027,-7.74,-7.57
1978.2877,-7.82,-7.61
1978.3699,-7.8,-7.58
1978.4548,-7.63,-7.54
1978.537,-7.41,-7.59
1978.6219,-7.31,-7.67
1978.7068,-7.23,-7.54
1978.789,-7.46,-7.61
1978.874,-7.56,-7.58
1978.9562,-7.7,-7.63
1979.0411,-7.72,-7.6
1979.126,-7.84,-7.69
1979.2027,-7.84,-7.67
1979.2877,-7.96,-7.74
1979.3699,-7.91,-7.69
1979.4548,-7.79,-7.7
1979.537,-7.53,-7.71
1979.6219,-7.42,-7.79
1979.7068,-7.4,-7.71
1979.789,-7.56,-7.71
1979.874,-7.69,-7.71
1979.9562,-7.77,-7.7
1980.041,-7.82,-7.7
1980.1257,-7.84,-7.7
1980.2049,-7.77,-7.6
1980.2896,-7.91,-7.7
1980.3716,-7.92,-7.7
1980.4563,-7.79,-7.7
1980.5383,-7.52,-7.7
1980.623,-7.36,-7.73
1980.7077,-7.39,-7.7
1980.7896,-7.58,-7.73
1980.8743,-7.69,-7.71
1980.9563,-7.74,-7.67
1981.0411,-7.84,-7.73
1981.126,-7.89,-7.74
1981.2027,-7.89,-7.71
1981.2877,-7.93,-7.71
1981.3699,-7.92,-7.69
1981.4548,-7.81,-7.71
1981.537,-7.48,-7.66
1981.6219,-7.44,-7.81
1981.7068,-7.4,-7.71
1981.789,-7.55,-7.7
1981.874,-7.66,-7.68
1981.9562,-7.82,-7.75
1982.0411,-7.86,-7.74
1982.126,-7.86,-7.71
1982.2027,-7.82,-7.65
1982.2877,-7.92,-7.71
1982.3699,-8.01,-7.79
1982.4548,-7.76,-7.67
1982.537,-7.54,-7.71
1982.6219,-7.34,-7.71
1982.7068,-7.38,-7.7
1982.789,-7.56,-7.71
1982.874,-7.71,-7.73
1982.9562,-7.79,-7.73
1983.0411,-7.82,-7.7
1983.126,-7.89,-7.74
1983.2027,-7.88,-7.71
1983.2877,-7.91,-7.7
1983.3699,-7.96,-7.74
1983.4548,-7.79,-7.7
1983.537,-7.66,-7.83
1983.6219,-7.4,-7.76
1983.7068,-7.49,-7.8
1983.789,-7.62,-7.77
1983.874,-7.61,-7.63
1983.9562,-7.83,-7.77
1984.041,-7.91,-7.8
1984.1257,-7.89,-7.74
1984.2049,-8.05,-7.88
1984.2896,-8.06,-7.85
1984.3716,-8.09,-7.87
1984.4563,-7.91,-7.82
1984.5383,-7.66,-7.83
1984.623,-7.39,-7.75
1984.7077,-7.51,-7.82
1984.7896,-7.65,-7.8
1984.8743,-7.76,-7.77
1984.9563,-7.93,-7.86
1985.0411,-7.88,-7.77
1985.126,-7.93,-7.79
1985.2027,-7.9,-7.73
1985.2877,-7.87,-7.66
1985.3699,-7.95,-7.73
1985.4548,-7.92,-7.83
1985.537,-7.58,-7.76
1985.6219,-7.36,-7.73
1985.7068,-7.33,-7.64
1985.789,-7.65,-7.8
1985.874,-7.74,-7.75
1985.9562,-7.8,-7.74
