      Date,      CO2 filled ppm, seasonally adjusted filled ppm
1957.0411,314.48,313.02
1957.126,314.97,313.14
1957.2027,315.45,313.32
1957.2877,315.74,313.03
1957.3699,315.84,313.03
1957.4548,315.28,314.09
1957.537,311.68,313.74
1957.6219,309.29,313.97
1957.7068,309.95,314.11
1957.789,312.71,314.55
1957.874,314.13,314.2
1957.9562,315.12,314.3
1958.0411,315.88,314.41
1958.126,316.36,314.51
1958.2027,316.76,314.59
1958.2877,316.44,313.7
1958.3699,317.6,314.77
1958.4548,316.06,314.86
1958.537,313.44,315.52
1958.6219,310.59,315.33
1958.7068,311.09,315.3
1958.789,312.77,314.62
1958.874,315.62,315.68
1958.9562,316.46,315.63
1959.0411,317.22,315.72
1959.126,316.75,314.88
1959.2027,317.65,315.46
1959.2877,317.39,314.62
1959.3699,317.37,314.5
1959.4548,317.43,316.21
1959.537,313.54,315.65
1959.6219,310.28,315.08
1959.7068,311.29,315.54
1959.789,314.67,316.55
1959.874,316.41,316.48
1959.9562,315.76,314.93
1960.041,317.11,315.6
1960.1257,317.85,315.96
1960.2049,317.81,315.58
1960.2896,319.61,316.79
1960.3716,320.38,317.49
1960.4563,318.04,316.86
1960.5383,314.31,316.5
1960.623,311.72,316.59
1960.7077,312.38,316.67
1960.7896,314.86,316.74
1960.8743,316.75,316.82
1960.9563,317.74,316.89
1961.0411,318.49,316.96
1961.126,318.94,317.03
1961.2027,319.33,317.09
1961.2877,320,317.16
1961.3699,320.16,317.23
1961.4548,318.54,317.29
1961.537,315.2,317.36
1961.6219,312.52,317.42
1961.7068,313.13,317.49
1961.789,315.63,317.55
1961.874,317.55,317.62
1961.9562,318.54,317.68
1962.0411,319.3,317.75
1962.126,319.76,317.82
1962.2027,320.19,317.92
1962.2877,320.71,317.85
1962.3699,320.92,317.96
1962.4548,319.35,318.09
1962.537,315.98,318.17
1962.6219,313.28,318.24
1962.7068,313.91,318.32
1962.789,316.45,318.39
1962.874,318.4,318.47
1962.9562,319.41,318.55
1963.0411,320.19,318.63
1963.126,320.67,318.71
1963.2027,321.08,318.78
1963.2877,321.77,318.87
1963.3699,321.95,318.95
1963.4548,320.3,319.03
1963.537,316.91,319.12
1963.6219,314.19,319.21
1963.7068,314.84,319.29
1963.789,317.42,319.38
1963.874,319.4,319.47
1963.9562,320.43,319.56
1964.041,321.23,319.65
1964.1257,321.72,319.74
1964.2049,322.16,319.83
1964.2896,322.87,319.92
1964.3716,323.04,320.02
1964.4563,321.34,320.11
1964.5383,317.91,320.2
1964.623,315.21,320.3
1964.7077,315.91,320.4
1964.7896,318.52,320.49
1964.8743,320.52,320.59
1964.9563,321.57,320.68
1965.0411,322.38,320.78
1965.126,322.88,320.88
1965.2027,323.32,320.97
1965.2877,324.04,321.08
1965.3699,324.24,321.17
1965.4548,322.57,321.27
1965.537,319.12,321.37
1965.6219,316.35,321.48
1965.7068,317.03,321.58
1965.789,319.67,321.68
1965.874,321.71,321.78
1965.9562,322.78,321.88
1966.0411,323.6,321.99
1966.126,324.11,322.09
1966.2027,324.55,322.18
1966.2877,325.28,322.29
1966.3699,325.49,322.39
1966.4548,323.81,322.49
1966.537,320.31,322.59
1966.6219,317.52,322.7
1966.7068,318.2,322.8
1966.789,320.88,322.91
1966.874,322.94,323.01
1966.9562,324.02,323.11
1967.0411,324.85,323.22
1967.126,325.37,323.32
1967.2027,325.81,323.42
1967.2877,326.55,323.52
1967.3699,326.75,323.62
1967.4548,325.05,323.72
1967.537,321.52,323.83
1967.6219,318.69,323.93
1967.7068,319.38,324.03
1967.789,322.08,324.13
1967.874,324.16,324.23
1967.9562,325.25,324.33
1968.041,326.09,324.44
1968.1257,326.6,324.54
1968.2049,327.06,324.63
1968.2896,327.81,324.73
1968.3716,327.98,324.83
1968.4563,326.22,324.93
1968.5383,322.64,325.03
1968.623,319.82,325.12
1968.7077,320.55,325.22
1968.7896,323.26,325.32
1968.8743,325.35,325.41
1968.9563,326.43,325.51
1969.0411,330.24,328.57
1969.126,326.49,324.4
1969.2027,328.23,325.79
1969.2877,327.98,324.88
1969.3699,329.17,325.97
1969.4548,326.26,324.91
1969.537,323.81,326.16
1969.6219,320.91,326.26
1969.7068,321.6,326.35
1969.789,325.65,327.75
1969.874,326.45,326.52
1969.9562,327.54,326.6
1970.0411,328.37,326.68
1970.126,328.87,326.76
1970.2027,329.3,326.83
1970.2877,329.15,326.03
1970.3699,331.67,328.44
1970.4548,328.07,326.7
1970.537,324.73,327.11
1970.6219,321.77,327.18
1970.7068,322.36,327.16
1970.789,325.19,327.31
1970.874,327.3,327.38
1970.9562,327.32,326.38
1971.0411,329.21,327.51
1971.126,329.92,327.79
1971.2027,330.58,328.08
1971.2877,330.41,327.26
1971.3699,330.61,327.35
1971.4548,330.01,328.62
1971.537,324.5,326.9
1971.6219,322.54,327.99
1971.7068,323.22,328.07
1971.789,326,328.14
1971.874,328.14,328.22
1971.9562,329.24,328.29
1972.041,330.09,328.37
1972.1257,330.6,328.45
1972.2049,333.8,331.27
1972.2896,330.92,327.72
1972.3716,332.22,328.93
1972.4563,330.09,328.75
1972.5383,326.41,328.9
1972.623,323.38,328.91
1972.7077,322.72,327.59
1972.7896,327.24,329.38
1972.8743,328.37,328.44
1972.9563,330.37,329.41
1973.0411,330.32,328.59
1973.126,331.38,329.2
1973.2027,332.11,329.56
1973.2877,333.77,330.55
1973.3699,333.21,329.87
1973.4548,331.42,330.01
1973.537,328.62,331.07
1973.6219,322.2,327.77
1973.7068,325.48,330.42
1973.789,328.82,331
1973.874,330.63,330.7
1973.9562,331.81,330.84
1974.0411,332.74,330.98
1974.126,333.7,331.51
1974.2027,333.66,331.08
1974.2877,335.7,332.45
1974.3699,334.87,331.51
1974.4548,333.06,331.63
1974.537,329.28,331.75
1974.6219,327.39,333.01
1974.7068,326.98,331.98
1974.789,330.88,333.09
1974.874,331.36,331.44
1974.9562,333.25,332.26
1975.0411,334.32,332.55
1975.126,334.66,332.44
1975.2027,335.11,332.52
1975.2877,334.79,331.5
1975.3699,336.99,333.59
1975.4548,334.19,332.76
1975.537,329.75,332.25
1975.6219,327.23,332.91
1975.7068,327.95,332.99
1975.789,328.84,331.07
1975.874,333.08,333.16
1975.9562,334.87,333.88
1976.041,335.12,333.33
1976.1257,334.95,332.71
1976.2049,337.37,334.73
1976.2896,338.49,335.16
1976.3716,337.1,333.68
1976.4563,334.75,333.36
1976.5383,331.29,333.88
1976.623,328.77,334.52
1976.7077,326.36,331.43
1976.7896,331.98,334.21
1976.8743,334.26,334.33
1976.9563,334.39,333.38
1977.0411,336.29,334.49
1977.126,335.53,333.27
1977.2027,336.88,334.23
1977.2877,338.38,335.03
1977.3699,338.57,335.11
1977.4548,336.81,335.35
1977.537,333.21,335.76
1977.6219,329.87,335.66
1977.7068,331.83,336.97
1977.789,334.26,336.53
1977.874,338.39,338.47
1977.9562,337.26,336.25
1978.0411,340.11,338.28
1978.126,338.81,336.52
1978.2027,339.31,336.64
1978.2877,339.66,336.28
1978.3699,339.23,335.73
1978.4548,338.42,336.94
1978.537,334.57,337.14
1978.6219,331.44,337.28
1978.7068,330.17,335.36
1978.789,336.15,338.44
1978.874,336.64,336.72
1978.9562,340.12,339.11
1979.0411,338.67,336.82
1979.126,339.77,337.47
1979.2027,341.15,338.45
1979.2877,341.39,337.98
1979.3699,341.96,338.43
1979.4548,340.06,338.56
